,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
2416,0.017705623,33,0,0.319053619,7142.0,7,0,1,0,0.0
25912,0.9999999,36,0,0.099475131,4000.0,5,0,0,0,0.0
125747,0.00434081,57,0,0.185587627,15000.0,6,0,2,0,2.0
83007,0.9999999,75,0,0.0,13945.0,2,0,0,0,0.0
5315,0.9999999,26,0,1.181699346,764.0,3,2,0,0,0.0
580,0.30248201,46,0,0.34805720799999995,7900.0,12,0,1,0,2.0
138807,0.359400634,49,0,0.33931862,23334.0,9,0,3,0,5.0
110563,0.0,31,0,0.789454545,2749.0,9,0,2,0,0.0
86083,0.11413392,33,1,0.073366834,2984.0,6,0,0,0,0.0
107902,0.022821352000000003,59,0,0.065993401,10000.0,5,0,1,0,1.0
61608,0.4226454120000001,47,0,0.186265461,10833.0,20,0,1,0,1.0
64717,0.0,26,0,0.032741815,4000.0,4,0,0,0,0.0
79008,0.041326427,55,0,0.407602725,9101.0,11,0,2,0,1.0
65562,0.018786627,57,0,0.205617603,11997.0,14,0,2,0,1.0
46305,0.645959855,45,0,0.33886829,6202.0,7,0,0,0,0.0
68145,0.221849371,45,1,0.361837647,7378.0,13,1,1,0,1.0
123015,0.013283931,59,0,0.260430323,12966.0,11,0,3,0,0.0
138370,0.04846559,56,0,0.34520996200000004,5500.0,6,0,1,0,1.0
96578,0.156975748,79,0,0.4781491,3500.0,11,0,2,0,0.0
82772,0.6309482120000001,38,0,0.494112419,4500.0,7,0,1,0,1.0
71548,0.9999999,30,0,0.20043494,2758.0,2,1,0,0,0.0
105654,0.757789536,46,0,0.12882033699999998,3500.0,6,2,0,4,1.0
124681,0.391839521,56,3,0.45412367,12500.0,13,0,3,0,2.0
104522,0.7309544840000001,47,0,0.6717938859999999,5200.0,11,0,0,0,2.0
148907,0.012385158,30,0,0.058554699,3500.0,4,0,0,0,1.0
140513,0.264347131,70,0,0.268747714,8200.0,8,0,1,0,0.0
142521,0.000424974,69,0,0.139819076,6300.0,14,0,0,0,1.0
7947,0.058103577,41,0,0.259072014,8900.0,16,0,5,0,2.0
4842,0.7154721620000001,37,1,0.124441308,4250.0,3,0,0,0,3.0
126706,0.0,42,1,0.232368817,11300.0,4,0,1,2,2.0
145208,0.082541703,35,0,0.331567253,5850.0,5,0,1,0,2.0
6550,0.20863037,44,0,0.418197725,8000.0,11,0,2,0,0.0
85684,0.921286088,37,0,0.428609519,7500.0,10,0,1,0,2.0
45523,0.220911164,66,0,0.036592681,5000.0,7,0,0,0,0.0
18542,0.031977669,38,0,0.831435712,3600.0,6,0,1,0,0.0
70635,0.415009435,44,0,0.24614495,10375.0,16,0,2,0,0.0
36594,0.055865251,71,0,0.053038866,11500.0,8,0,0,0,0.0
17667,0.552985064,49,0,0.39316587,9832.0,9,0,2,0,2.0
33316,0.0,61,0,0.13297698300000002,9166.0,8,0,1,0,0.0
93708,0.660467906,38,1,0.507661067,5416.0,4,1,1,0,0.0
138857,0.0,32,0,0.8359358729999999,4802.0,7,0,2,0,2.0
133716,0.193713546,74,0,0.282857662,5500.0,12,0,1,0,1.0
79787,0.009274921,81,0,0.008279125,1690.0,9,0,0,0,0.0
14110,0.701691526,41,0,0.455708858,5000.0,9,0,0,0,3.0
87267,0.568079715,66,1,1.0209980909999998,11000.0,20,0,3,0,0.0
66808,0.228534626,41,0,0.453967806,7081.0,7,0,1,0,0.0
147842,0.344447035,60,0,0.368315842,2000.0,6,0,0,0,0.0
59868,0.9999999,43,0,0.0,550.0,1,0,0,0,1.0
108985,0.131265624,32,0,0.149212697,4000.0,5,0,0,0,0.0
75163,0.06548085299999999,35,0,0.548187445,7916.0,10,0,2,0,0.0
72524,0.200935823,69,0,0.329471602,10616.0,16,0,3,0,0.0
111075,0.938230336,53,0,0.568171591,6666.0,6,0,1,0,0.0
26638,0.019447941,63,0,0.081401005,6166.0,11,0,1,0,0.0
14770,0.6903154840000001,46,0,0.492218764,6746.0,5,0,3,0,2.0
51153,0.78088158,50,0,0.699858614,4950.0,17,0,2,0,0.0
90684,0.045226573,38,0,0.225505443,4500.0,10,0,1,0,3.0
12050,0.242005048,77,0,0.074515648,3354.0,4,0,0,0,0.0
53629,0.0,48,0,0.252342558,4588.0,11,0,1,0,2.0
48736,0.04479776,55,0,0.210147671,5281.0,6,0,1,0,0.0
96055,0.095289447,69,0,0.625093727,4000.0,8,0,1,0,0.0
51971,0.003895236,60,0,0.3785123970000001,3024.0,13,0,1,0,0.0
136342,0.486612428,43,0,0.437166006,5800.0,8,0,1,0,2.0
52382,0.856325569,58,3,0.417500333,7496.0,9,1,0,1,1.0
110436,0.311228159,62,0,0.469717362,5200.0,19,0,1,0,0.0
62182,0.298692877,43,0,0.475228779,3168.0,6,1,1,0,2.0
2105,0.7186937520000001,54,1,0.626305265,4500.0,11,0,1,1,0.0
99901,0.144771046,32,0,0.278487088,10416.0,4,0,1,0,0.0
61376,0.174491189,60,0,0.758812059,6666.0,14,0,2,0,0.0
65261,0.8278322929999999,56,3,0.194065657,15839.0,7,0,2,0,1.0
105440,0.0,50,0,0.921882581,2060.0,8,0,2,0,1.0
102663,0.030859747000000007,74,0,0.16863636399999998,4399.0,4,0,1,0,0.0
87242,0.037108692,70,0,0.100208354,10078.0,10,0,1,0,0.0
85077,1.109780439,32,0,0.066583437,2402.0,2,0,0,0,0.0
135441,0.06943729400000001,80,0,0.661905734,4900.0,8,0,2,0,2.0
131813,0.07964062599999999,59,0,0.193723849,4779.0,14,0,1,0,0.0
89303,0.029174271,37,0,1.414868106,1250.0,3,0,1,0,0.0
24773,0.6337104029999999,41,0,0.184277905,14450.0,9,0,0,0,3.0
73982,0.024953078,44,0,1.009402031,2658.0,8,0,2,0,1.0
142415,0.08374841400000001,46,0,0.363474783,4500.0,6,0,1,0,0.0
96330,0.9999999,26,0,0.20278472,2800.0,1,0,0,0,1.0
60989,0.052019151,46,0,0.291115964,8700.0,6,0,1,0,1.0
73018,0.1803878,70,0,0.086255166,7500.0,8,0,0,0,0.0
115563,0.0,62,0,0.036657469,10147.0,13,0,0,0,2.0
83862,0.8045698,40,0,2.4594257180000003,800.0,9,0,1,0,2.0
113002,0.073641409,64,0,0.319932203,14749.0,18,0,1,0,0.0
23421,0.261965071,29,0,0.149589432,2800.0,4,0,0,0,0.0
147560,0.925439223,54,1,0.315771812,2979.0,6,0,0,0,0.0
67998,0.002065506,32,0,0.326266695,9433.0,11,0,1,0,0.0
139223,0.4011679070000001,30,0,0.074985003,5000.0,2,0,0,0,1.0
6086,0.198407607,32,0,0.065389421,2400.0,8,0,0,0,0.0
52676,0.254972286,29,2,0.013997201,5000.0,4,0,0,0,0.0
104924,0.0,42,0,0.0,1855.0,2,0,0,0,0.0
129101,0.965008748,45,2,0.140477512,1800.0,4,0,0,0,0.0
40722,0.124422885,42,0,0.231128145,6000.0,10,0,1,0,2.0
61528,0.125493725,65,0,0.22191055,6416.0,2,0,1,0,0.0
6938,0.0,68,0,0.104162079,4540.0,3,0,0,0,0.0
33808,0.150120417,42,0,0.313796598,18750.0,6,0,3,0,0.0
107128,0.144441414,31,0,0.531604813,5900.0,3,0,2,0,0.0
14248,0.022381074,47,0,0.178470255,6000.0,9,0,1,0,0.0
97054,0.326728759,52,0,0.5074266479999999,13666.0,10,0,4,0,2.0
105268,0.480813606,58,0,0.6837368490000001,7888.0,5,0,3,0,0.0
68351,0.079776005,44,0,0.172341383,20000.0,6,0,2,0,2.0
117225,0.190247241,82,0,0.164349735,10933.0,13,0,0,0,0.0
44872,0.16704502,88,0,1.193859336,2800.0,12,0,4,0,0.0
117081,0.6937499079999999,50,0,0.5647430999999999,9166.0,16,0,2,0,1.0
81395,0.318804164,45,0,0.147606549,8000.0,5,0,0,0,1.0
79536,0.116788186,35,0,0.142764691,7725.0,14,0,0,0,3.0
108506,0.015678183000000002,54,0,0.16797900300000002,3047.0,11,0,1,0,0.0
8880,0.038438768,63,0,0.309566787,5539.0,12,0,1,0,0.0
35581,0.024211195,56,0,0.278034149,4333.0,8,0,1,0,0.0
122803,0.035256373,81,0,0.13986997,5690.0,9,0,1,0,0.0
136308,0.707237557,44,3,0.17636956899999998,5822.0,11,0,2,0,1.0
34501,1.00559777,48,3,0.3978795,15750.0,20,0,1,0,1.0
61831,1.006528656,51,1,0.245730694,6616.0,7,1,0,0,4.0
39042,0.101660554,69,0,0.275412294,13339.0,9,0,1,0,0.0
115433,0.56748246,38,0,0.682589928,3474.0,9,0,1,0,2.0
13062,0.8492714579999999,23,0,0.077990825,8500.0,12,0,0,0,0.0
111654,0.168125432,56,0,0.269216348,8000.0,14,0,1,0,3.0
61746,0.062136995,59,0,0.435808137,12633.0,22,0,2,0,0.0
139688,0.553111722,46,1,0.008460454000000001,7800.0,1,0,0,0,0.0
149052,0.180279276,30,0,0.676628682,4650.0,5,0,1,0,0.0
70552,0.033835354,77,0,0.002669336,8990.0,4,0,0,0,0.0
45081,0.915041867,64,0,2.145759432,3100.0,17,0,2,0,0.0
81226,1.023286666,50,3,0.294541092,5000.0,15,0,0,2,0.0
96113,0.057652268,52,0,0.518413598,4941.0,12,0,5,0,2.0
66748,0.004765167,65,0,0.189069096,4500.0,13,0,1,0,0.0
70059,0.023381923,67,0,0.208646796,10500.0,14,0,1,0,0.0
106629,0.184475629,47,0,2.163418291,2000.0,16,0,2,0,3.0
89294,0.026063608,41,0,0.005485087,2916.0,3,0,0,0,0.0
82334,0.102722085,38,0,0.664778407,3000.0,7,0,0,0,2.0
60971,0.053091789,69,0,0.146469968,7591.0,3,0,0,0,0.0
128465,0.205655935,44,1,0.372477246,10107.0,8,0,2,0,2.0
92720,0.971243363,34,0,0.286739755,7661.0,11,0,2,0,4.0
100204,0.563218391,45,0,0.364115615,5500.0,3,0,1,0,3.0
24793,0.316947175,40,1,0.211964673,6000.0,9,0,1,0,0.0
90189,0.452551854,29,0,0.274261227,11200.0,9,0,2,0,0.0
130358,0.56513199,38,0,0.414678482,4400.0,6,0,0,0,0.0
34922,0.25788709600000004,81,0,0.389122176,5000.0,15,0,2,0,1.0
47566,0.057953873,52,0,0.312985134,7600.0,5,0,2,0,3.0
27842,0.609560994,46,4,0.282960954,14008.0,7,0,1,0,2.0
44232,0.108441206,33,0,0.177508145,8900.0,8,0,2,0,2.0
1050,0.012538557,63,0,0.38510101,2375.0,12,0,2,0,0.0
56695,0.102907245,41,0,0.088568935,4583.0,3,0,0,0,1.0
93879,0.30666748,64,0,0.578453111,7666.0,5,0,1,0,1.0
76168,0.262458472,48,1,2.304456476,2400.0,7,2,3,0,2.0
127039,0.5457364339999999,49,0,0.37822327,12719.0,15,0,2,0,0.0
50579,0.07579269,51,0,0.363348248,5363.0,10,0,1,0,0.0
100304,0.380744515,66,0,0.704019996,4800.0,12,0,2,0,0.0
148254,0.059427046,66,0,0.07828518200000001,2145.0,9,0,1,0,0.0
11474,0.303575739,40,0,0.49296062,4900.0,10,0,1,0,1.0
60043,0.140747487,43,1,0.253689219,12400.0,9,0,2,0,3.0
46405,0.307057154,71,0,0.596286973,3177.0,6,0,1,0,0.0
141385,0.7488807540000001,33,0,0.463650229,5900.0,11,0,1,0,0.0
75551,0.039445039,80,0,0.288677831,4000.0,9,0,1,0,0.0
78730,0.271773355,58,0,0.34020945700000005,3150.0,10,0,0,0,0.0
98819,0.053353311,65,0,0.028990337,3000.0,5,0,0,0,1.0
5150,0.333656526,53,1,0.152735151,5538.0,9,0,0,0,1.0
109823,0.618538324,35,1,0.614483243,12800.0,14,0,6,0,0.0
114029,0.072589505,61,0,0.00669507,11500.0,4,0,0,0,2.0
81406,0.0,51,0,0.243796019,7333.0,14,0,1,0,4.0
76918,0.043004597,51,0,0.417479893,9324.0,10,0,2,0,0.0
43248,0.828282828,46,2,0.870024995,5200.0,4,3,1,0,2.0
14767,0.695331825,59,1,0.666010029,5583.0,4,0,1,0,1.0
8076,0.4884953070000001,60,1,0.8042594390000001,5164.0,6,1,1,1,0.0
22661,0.05278174,42,4,0.339457568,8000.0,5,0,1,0,2.0
72484,1.009480779,46,0,0.293186614,6633.0,3,2,1,0,0.0
41461,0.001178258,52,2,0.25408437,4100.0,7,0,1,1,0.0
111514,0.0,41,0,0.17393180800000002,6950.0,7,0,1,0,2.0
98779,0.923415317,47,0,0.693461058,2400.0,9,1,2,1,3.0
97210,0.215984573,55,0,0.309485205,4933.0,6,0,2,0,2.0
52075,0.02093665,84,0,0.008084824000000001,7544.0,9,0,0,0,0.0
2034,0.971792188,52,0,0.76123817,5071.0,15,0,1,0,1.0
5892,0.0,44,0,0.254985001,11333.0,6,0,2,0,0.0
112873,0.037713208,77,0,0.009497626,4000.0,3,0,0,0,0.0
78451,0.048851418,53,0,0.030663746,10500.0,11,0,0,1,0.0
145615,0.051806251,71,0,0.013678019,7310.0,5,0,0,0,0.0
149227,0.22276351100000005,57,1,0.580451128,8644.0,22,0,3,0,0.0
40565,0.575809688,44,1,0.297933792,4500.0,10,0,0,0,1.0
28551,0.565203166,49,0,0.309275258,16667.0,10,0,2,0,5.0
61473,0.32777470000000003,57,0,0.342742557,6482.0,12,0,1,0,1.0
115985,0.567175233,57,4,0.7540223620000001,3666.0,10,1,2,0,0.0
51633,0.12976828,51,0,0.1005996,1500.0,14,0,0,0,3.0
125919,0.303260465,59,0,0.333566643,10000.0,16,0,2,0,1.0
10006,0.05461818,80,0,0.022491967,2800.0,6,0,0,0,0.0
3835,0.011499042,51,0,0.594003748,1600.0,10,0,1,0,3.0
131989,0.008692897,75,0,0.071013845,6716.0,6,0,1,0,0.0
78330,0.0,42,0,0.000576701,1733.0,7,0,0,0,0.0
27496,0.022918674,71,0,0.050204009,5636.0,10,0,1,0,0.0
61564,0.245433942,26,1,0.171950871,3500.0,4,0,0,0,0.0
100007,0.12701559,62,0,0.7464676090000001,3750.0,20,0,2,0,0.0
100317,0.500871146,35,0,0.946272387,2400.0,8,0,2,0,2.0
98521,0.0,45,0,0.071952428,5044.0,3,0,0,0,0.0
51120,0.005921893,64,0,0.250061897,4038.0,18,0,2,0,0.0
39244,0.163351309,50,0,0.208617398,11000.0,6,0,1,0,1.0
132788,0.032099465,66,0,0.271896933,10400.0,6,0,2,0,0.0
89449,0.148284391,57,0,0.10953589,6700.0,9,0,0,0,0.0
123406,1.756996016,79,0,0.661033897,10000.0,5,0,1,0,0.0
79889,0.774131522,31,3,0.436015511,4125.0,8,1,0,0,0.0
63392,0.240694192,35,0,0.119600143,2800.0,7,0,0,0,0.0
21059,0.0,51,0,0.234144987,10800.0,10,0,2,0,1.0
30432,0.384680766,41,0,0.581137154,8916.0,13,0,2,0,2.0
59951,0.7888649390000001,33,3,0.235870231,4900.0,8,0,0,1,1.0
11001,0.133154674,68,0,0.33884748200000003,5500.0,6,0,1,0,0.0
73240,0.130747671,44,0,0.12287017,4166.0,6,0,0,0,0.0
73042,0.463777545,63,0,0.25764847,3333.0,10,0,1,0,0.0
131325,0.312479399,71,0,1.059274059,3002.0,14,0,1,0,0.0
24668,0.107159266,41,0,0.226254397,5400.0,8,0,1,0,3.0
46541,0.06466235599999999,64,0,0.008961680999999999,3235.0,2,0,0,0,0.0
52522,0.647073389,55,0,0.360667377,2816.0,7,0,0,0,0.0
108914,0.7945649459999999,26,0,0.5920031060000001,2575.0,10,0,0,2,1.0
45161,0.0,41,0,0.765744752,3000.0,6,0,2,0,4.0
85360,0.0,50,0,0.289008455,1300.0,4,0,0,0,1.0
64892,0.010913117,69,0,0.074925075,2001.0,12,0,1,0,0.0
57755,0.757007147,51,0,0.41644132,1848.0,5,0,0,0,0.0
33684,0.001234025,78,0,0.000476145,10500.0,13,0,0,0,0.0
46224,1.050757071,41,1,0.63203296,7766.0,8,0,1,0,2.0
16346,0.053971517,60,0,0.163322445,15000.0,10,0,2,0,0.0
68629,0.525113783,39,1,0.211123841,9600.0,8,0,0,0,3.0
75424,0.114139662,63,0,0.114930991,3984.0,6,0,1,0,0.0
65907,0.025541553,61,0,0.019152332,5638.0,5,0,0,0,2.0
136625,0.013489408,57,0,0.006832156999999999,4390.0,11,0,0,0,0.0
99480,0.9999999,46,0,0.097167585,5083.0,10,0,0,0,1.0
24025,0.062781047,46,2,0.224221972,8000.0,11,0,2,0,0.0
33686,0.653733851,63,0,0.549798259,4708.0,4,0,1,0,0.0
1148,0.7515857029999999,56,0,1.4785775490000002,2333.0,8,0,2,0,0.0
99749,0.407708739,58,0,0.585458492,5528.0,23,0,2,0,1.0
26744,0.008536377,60,0,0.002380386,4200.0,4,0,0,0,1.0
129027,0.0,33,0,0.0,1600.0,1,0,0,0,0.0
77702,0.308259608,82,0,0.360177728,3600.0,10,0,0,0,0.0
75207,0.114263794,59,0,0.400258023,6200.0,20,0,2,0,0.0
84949,0.049011809,49,0,1.015912481,4021.0,16,0,2,0,2.0
7224,1.222438912,40,0,0.786134324,3230.0,16,0,2,0,1.0
108952,0.035142686,78,1,0.03996004,1000.0,9,0,0,0,0.0
91190,0.959969428,46,0,0.45503692,7583.0,8,0,1,0,3.0
131379,0.040037646,81,0,0.007690336,3900.0,4,0,0,0,0.0
116215,0.661129568,62,1,0.071463727,10158.0,2,0,0,1,0.0
15849,0.059584759,41,0,0.34558743299999994,9166.0,5,0,1,0,0.0
17382,0.9999999,47,0,0.281644509,8950.0,6,0,1,0,4.0
113039,0.32163007,46,0,0.322584677,8000.0,7,0,1,0,0.0
86974,0.031248698,80,0,0.002340924,9397.0,5,0,0,0,0.0
33668,0.034681989,55,0,0.182204172,10833.0,8,0,2,0,1.0
42035,1.039488672,31,0,0.386522695,5000.0,5,0,2,0,0.0
83850,1.11824261,39,2,0.451554263,5500.0,8,1,2,0,0.0
27824,0.048718051,65,2,0.146699267,1635.0,5,0,0,0,1.0
73753,0.776262667,56,0,0.263573643,10000.0,9,0,2,0,4.0
82045,0.517241379,23,0,0.057061341,700.0,2,1,0,1,0.0
114033,0.426924265,64,0,0.247368421,2279.0,14,0,0,0,1.0
2752,0.203512976,41,0,0.5618151060000001,13596.0,15,0,6,0,0.0
2827,0.061783143,64,0,0.325767129,4757.0,11,1,1,0,0.0
59188,0.010864955,67,0,0.465125348,17949.0,21,0,4,0,1.0
149788,0.087471417,65,0,0.223359702,4297.0,5,0,1,0,0.0
6009,0.005101892,63,0,0.236409081,4800.0,6,0,1,0,0.0
10061,0.914512237,44,2,0.496687229,4376.0,3,2,0,0,1.0
97611,0.5105755670000001,32,3,0.256619145,1963.0,3,0,0,2,2.0
79702,1.001329107,51,3,0.679293576,7813.0,14,0,2,0,1.0
73757,0.370263645,45,0,0.437112577,5000.0,6,0,1,0,3.0
135225,0.037307405,55,0,0.222627334,9050.0,14,0,1,0,2.0
8565,0.9999999,55,0,0.08638272300000001,5000.0,2,0,0,0,0.0
45984,0.02185265,68,0,0.351123056,5208.0,10,0,1,0,0.0
53105,0.0,65,0,0.23951486,10800.0,5,0,2,1,0.0
81181,0.022605376,78,0,0.124917817,1520.0,9,0,0,0,0.0
46571,0.08627438,47,0,0.29607426,5170.0,12,0,2,0,0.0
5997,0.079229246,48,0,0.304534156,11666.0,15,0,1,0,2.0
41449,0.012880733,52,0,0.12556573,9500.0,7,0,2,0,0.0
121249,0.461389899,67,1,0.454928917,6400.0,10,0,1,0,1.0
39663,0.791540282,63,0,0.477654901,6600.0,10,0,0,0,1.0
35582,0.9999999,26,1,0.084962913,4448.0,1,0,0,0,1.0
84494,0.004855605,87,0,0.0019995,4000.0,11,0,0,0,0.0
30320,0.023255138,27,0,0.138141576,5240.0,11,1,0,0,0.0
9468,0.001980029,69,0,0.5831389539999999,3000.0,10,0,1,0,0.0
100618,0.883468965,67,0,0.34236067600000003,12775.0,11,0,2,0,1.0
131190,0.093178283,79,0,0.480225173,6927.0,5,0,1,0,0.0
5411,0.482634152,40,2,0.125398119,13500.0,11,0,1,0,2.0
3146,0.379208177,35,0,0.332945827,4300.0,7,0,1,0,1.0
105716,0.921527546,62,3,0.7371610359999999,6600.0,16,0,3,0,0.0
144253,0.384112736,60,0,0.049707185,7000.0,5,0,0,0,1.0
70208,0.092706991,51,0,0.01487881,4166.0,4,0,0,0,0.0
31388,0.991150442,63,0,0.936237374,3167.0,8,0,2,0,2.0
1685,0.01150123,43,0,0.418702196,4052.0,4,0,1,0,0.0
18622,1.022866704,56,3,0.356271137,6800.0,15,0,1,0,2.0
27651,0.2342448,31,0,0.173132798,5850.0,14,0,0,0,1.0
80651,0.645217739,43,0,0.108867428,6833.0,7,0,0,0,2.0
116962,0.9999999,40,1,0.022977023,1000.0,0,0,0,0,0.0
35560,0.0,62,1,0.459827508,2202.0,6,0,1,0,0.0
18814,0.148625728,38,1,0.404269693,7400.0,9,0,2,0,3.0
74797,0.028648568,51,0,0.006848376999999999,7300.0,2,0,0,0,0.0
103047,0.7784431140000001,21,0,0.010989011000000002,1000.0,1,0,0,0,0.0
96094,0.973590293,56,1,0.092178771,1789.0,5,0,0,1,1.0
16550,0.046656228,61,0,0.626995646,6200.0,18,0,3,0,0.0
126669,0.481687764,70,0,0.119778561,3973.0,6,0,0,0,1.0
105276,0.09936646,61,0,0.475821417,9160.0,10,0,4,0,1.0
44297,0.0,55,0,0.322343077,8825.0,4,0,3,0,3.0
32695,0.9999999,50,1,0.372446762,2300.0,2,4,1,0,0.0
12467,0.464516129,39,1,0.421195127,5170.0,17,0,1,0,2.0
887,0.347921078,42,0,0.373740482,13000.0,11,0,2,0,2.0
50759,0.029428546,48,0,0.242900302,4964.0,4,0,1,0,1.0
94326,0.085458594,57,2,0.363091272,1500.0,7,0,1,0,0.0
101249,0.030631619,64,0,1.044129892,1200.0,3,0,1,0,0.0
41765,0.851561053,40,0,0.453493825,6396.0,8,0,2,0,0.0
69482,0.9999999,29,0,0.0,1167.0,1,0,0,0,1.0
25904,0.003833014,73,0,0.34612557,6800.0,7,0,1,0,1.0
69636,0.054544536,42,0,0.299881134,5888.0,7,0,1,0,1.0
33189,1.032350143,53,0,0.194497761,3125.0,12,0,0,0,2.0
144369,0.190493296,57,0,0.357466667,7499.0,18,0,1,0,0.0
124513,0.20953488,56,0,0.257074293,10000.0,12,0,2,0,1.0
31307,0.478937408,48,0,1.304199219,2047.0,13,0,1,0,3.0
88255,0.085393106,54,1,0.223463687,9307.0,17,0,1,0,0.0
114619,0.457439022,50,0,0.456851885,5596.0,7,0,1,0,0.0
140336,0.0,53,0,0.501287755,17083.0,8,0,3,0,2.0
73710,0.968154588,33,0,0.495320374,4166.0,14,0,0,0,0.0
67977,0.067203405,41,0,0.225154969,5000.0,10,0,0,0,0.0
38335,0.081272518,54,1,0.322815534,11947.0,11,0,2,0,2.0
23371,0.7541245879999999,48,0,0.084018707,6200.0,5,0,0,0,3.0
52525,0.122133244,39,1,0.396262003,11663.0,19,0,2,0,1.0
115360,0.060048702,31,0,0.051355207,700.0,4,0,0,0,0.0
59105,0.279796941,39,0,0.123905287,3082.0,4,0,0,0,3.0
115539,0.028033821,55,0,0.5200525970000001,6083.0,14,0,2,0,4.0
128275,0.188553289,58,0,0.835147332,3766.0,8,0,2,0,0.0
76422,0.256392712,83,0,0.26514912,9488.0,13,0,2,0,1.0
104587,0.03439828,67,0,0.032655781,3000.0,4,0,0,0,0.0
129558,0.054834055,71,0,1.4295985619999998,1668.0,18,0,3,0,0.0
44291,0.342609565,28,0,0.205931356,3000.0,6,0,0,0,0.0
37975,0.99992511,30,6,1.4168426280000002,8050.0,17,1,7,0,2.0
134720,0.186072251,59,0,0.442816053,7300.0,13,0,2,0,3.0
103274,0.052732551,41,1,0.292815312,7000.0,7,0,1,0,2.0
104693,0.056687008,64,0,0.00459908,5000.0,1,0,0,0,0.0
125249,0.007549943000000002,55,0,0.1886487,10500.0,13,0,1,0,0.0
19376,0.141849225,33,0,0.361163884,10000.0,8,0,1,0,0.0
107829,0.146512189,37,1,0.132283465,5079.0,6,0,0,0,1.0
91741,0.5025735579999999,50,1,0.301974835,12000.0,11,0,2,0,2.0
115952,1.40083015,39,0,0.690163557,4340.0,16,0,1,0,1.0
92324,0.068267793,72,0,0.312354312,7292.0,11,0,2,0,0.0
43093,0.058635031,58,0,0.515388628,1916.0,6,0,0,0,1.0
68697,0.004274893,34,0,0.15566944300000002,1560.0,8,0,0,0,0.0
45899,0.173076583,47,0,0.346723799,5600.0,10,0,2,0,3.0
10977,0.958193622,49,0,0.62142243,8140.0,12,0,2,0,4.0
111487,0.04300373,78,0,0.013747852,6400.0,5,0,0,0,0.0
102044,0.7822965559999999,52,1,0.220136818,5700.0,14,0,0,0,1.0
29658,0.0,59,0,0.35355286,7500.0,10,0,2,0,1.0
8533,0.005260641,65,0,0.178626972,4500.0,4,0,1,1,0.0
40070,0.038686661,65,0,0.186816016,7766.0,20,0,2,0,0.0
73493,0.015126297,75,0,0.15782458,3750.0,8,0,0,0,0.0
56888,0.400590775,31,0,0.10684188,7000.0,10,0,0,0,2.0
92074,0.092678207,26,0,0.012493753,2000.0,2,0,0,0,0.0
118515,1.551495017,51,0,0.50821857,2250.0,5,4,1,1,3.0
124828,0.008304211,55,0,0.511393135,10400.0,7,0,2,0,1.0
122755,0.395164901,36,1,0.087984003,5500.0,6,0,0,1,0.0
73828,0.087607546,73,0,0.449616971,5090.0,15,0,2,0,0.0
2533,0.042531087,62,0,0.003961804,9843.0,6,0,0,0,2.0
53452,0.002476073,59,0,0.346854506,4116.0,4,0,2,0,0.0
62727,0.6198912910000001,59,0,0.273120562,12250.0,17,0,4,0,0.0
122259,0.162083899,57,0,0.760692157,13233.0,21,0,3,0,1.0
244,0.053431552,41,0,0.20364404,9000.0,3,0,1,0,0.0
143840,0.664529838,82,1,0.653724379,6000.0,11,0,0,0,0.0
133788,0.8635085309999999,48,2,2.573713143,2000.0,14,0,2,0,0.0
35763,0.031527465,71,0,0.15836587,10500.0,12,0,1,0,0.0
56541,0.019603572,47,0,0.29417707600000004,10887.0,11,0,2,0,1.0
143387,0.045135544000000014,64,0,0.073654391,6000.0,6,0,0,1,0.0
134841,0.061262582,53,0,0.7257097159999999,2500.0,11,0,1,0,0.0
110895,0.086307106,32,0,0.682865097,3950.0,8,0,2,0,3.0
6374,0.021848908,64,0,0.187570114,4456.0,4,0,1,0,1.0
50649,0.480939883,71,0,0.01564413,7350.0,1,0,0,0,0.0
84637,0.0,43,1,0.35362342,12501.0,7,0,2,0,0.0
125450,0.102286041,54,0,0.120155194,25000.0,7,0,2,0,0.0
76148,0.138071281,50,0,0.6748650270000001,3333.0,16,0,1,0,1.0
132761,0.008447985,82,0,0.079350203,3200.0,7,0,0,0,1.0
116905,0.0,36,0,0.180487805,3689.0,4,0,0,0,2.0
145551,0.0,40,0,0.0,15000.0,2,0,0,0,2.0
37400,0.852917666,28,2,0.118515784,5416.0,4,0,0,0,2.0
2369,0.9999999,45,1,1.094979352,4600.0,3,4,0,0,1.0
92781,0.025005016,76,0,0.335155313,7500.0,9,0,2,0,1.0
5521,0.066157587,61,0,0.140467822,8250.0,5,0,1,0,0.0
87707,0.005583101,52,0,0.824717528,10000.0,11,0,5,0,2.0
98256,0.050304012,51,0,0.724608044,4400.0,11,0,2,0,0.0
83919,0.309587534,54,1,0.722819295,4000.0,14,0,3,1,0.0
4246,0.991008991,25,3,0.039745032,8000.0,4,2,0,0,0.0
130727,0.784909615,51,1,0.349957008,3488.0,9,0,1,0,1.0
48284,0.170071644,61,0,0.032552083,6143.0,4,0,0,0,1.0
102165,0.145732533,34,0,0.070185963,1666.0,6,0,0,0,0.0
140934,0.252474404,56,0,0.317712153,15000.0,11,0,2,0,0.0
